id;name
3c10f246-4198-4b81-8975-7371e25ec2a3;upbeat artificer apropos
9ede03b6-6e4b-471b-8f38-9479b20cf71b;comparison
392d0728-53c3-4d9e-b598-8605a2a4ecbc;prestigious horn boo
09cee4c2-41b5-450f-8882-94e496cc0316;breakable whereas phew
a31469a2-b9fb-4bff-8620-55113d5d6c32;even without
2f0957cd-d83e-44fe-b747-92294fd89896;bifocals
e160daf6-8b92-4fc6-953d-35e8ac06bc09;tin yet
c0362398-f9c5-41a5-8cc7-34badf9311bb;positive
18fb313c-103a-4373-8099-93de9a22d8c5;wee near ew
c368d0d3-ff3f-4784-b67e-0d2cd7c4ddec;neatly
